turn,player,agent,moved_pair,p1_move,p1_direction,p2_move,p2_direction,p1_score,p2_score,board_matrix_flattened
1,p1,greedy,"[3, 5]","[6, 2] -> [5, 1]",Up-Left,"[6, 4] -> [5, 5]",Up-Right,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  0  5  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
2,p2,random,"[-2, -3]","[0, 2] -> [1, 2]",Down,"[2, 2] -> [3, 1]",Down-Left,0,0,[ 0  0  0  0 -4  0  0] | [-1  0 -2  0  0  0 -6] | [ 0  0  0  0 -5  0  0] | [ 0 -3  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  0  5  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
3,p1,greedy,"[5, 3]","[5, 5] -> [4, 6]",Up-Right,"[5, 1] -> [4, 1]",Up,0,0,[ 0  0  0  0 -4  0  0] | [-1  0 -2  0  0  0 -6] | [ 0  0  0  0 -5  0  0] | [ 0 -3  0  0  0  0  0] | [ 0  3  0  0  0  0  5] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
4,p2,random,"[-4, -5]","[0, 4] -> [1, 4]",Down,"[2, 4] -> [3, 5]",Down-Right,0,0,[ 0  0  0  0  0  0  0] | [-1  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0  0 -5  0] | [ 0  3  0  0  0  0  5] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
5,p1,greedy,"[5, 3]","[4, 6] -> [4, 5]",Left,"[4, 1] -> [3, 2]",Up-Right,1,0,[ 0  0  0  0  0  0  0] | [-1  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0 -3  3  0  0 -5  0] | [ 0  0  0  0  0  5  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
6,p2,random,"[-2, -1]","[1, 2] -> [0, 2]",Up,"[1, 0] -> [0, 0]",Up,1,0,[-1  0 -2  0  0  0  0] | [ 0  0  0  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0 -3  3  0  0 -5  0] | [ 0  0  0  0  0  5  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
7,p1,greedy,"[3, 2]","[3, 2] -> [3, 3]",Right,"[8, 2] -> [7, 2]",Up,2,0,[-1  0 -2  0  0  0  0] | [ 0  0  0  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  3  0 -5  0] | [ 0  0  0  0  0  5  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  0  0  6] | [ 0  0  0  0  4  0  0]
8,p2,random,"[-4, -6]","[1, 4] -> [2, 3]",Down-Left,"[1, 6] -> [1, 5]",Left,2,0,[-1  0 -2  0  0  0  0] | [ 0  0  0  0  0 -6  0] | [ 0  0  0 -4  0  0  0] | [ 0 -3  0  3  0 -5  0] | [ 0  0  0  0  0  5  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  0  0  6] | [ 0  0  0  0  4  0  0]
9,p1,greedy,"[1, 2]","[7, 0] -> [6, 0]",Up,"[7, 2] -> [6, 2]",Up,2,0,[-1  0 -2  0  0  0  0] | [ 0  0  0  0  0 -6  0] | [ 0  0  0 -4  0  0  0] | [ 0 -3  0  3  0 -5  0] | [ 0  0  0  0  0  5  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  0  0  4  0  0]
10,p2,random,"[-6, -5]","[1, 5] -> [1, 6]",Right,"[3, 5] -> [4, 4]",Down-Left,3,0,[-1  0 -2  0  0  0  0] | [ 0  0  0  0  0  0 -6] | [ 0  0  0 -4  0  0  0] | [ 0 -3  0  3  0  0  0] | [ 0  0  0  0 -5  5  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  0  0  4  0  0]
11,p1,greedy,"[1, 3]","[6, 0] -> [7, 0]",Down,"[3, 3] -> [2, 2]",Up-Left,4,0,[-1  0 -2  0  0  0  0] | [ 0  0  0  0  0  0 -6] | [ 0  0  3 -4  0  0  0] | [ 0 -3  0  0  0  0  0] | [ 0  0  0  0 -5  5  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  0  0  4  0  0]
12,p2,random,"[-1, -2]","[0, 0] -> [1, 0]",Down,"[0, 2] -> [0, 3]",Right,4,0,[ 0  0  0 -2  0  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0  3 -4  0  0  0] | [ 0 -3  0  0  0  0  0] | [ 0  0  0  0 -5  5  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  0  0  4  0  0]
13,p1,greedy,"[3, 2]","[2, 2] -> [1, 3]",Up-Right,"[6, 2] -> [5, 1]",Up-Left,6,0,[ 0  0  0 -2  0  0  0] | [-1  0  0  3  0  0 -6] | [ 0  0  0 -4  0  0  0] | [ 0 -3  0  0  0  0  0] | [ 0  0  0  0 -5  5  0] | [ 0  2  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  0  0  4  0  0]
