turn,player,agent,moved_pair,p1_move,p1_direction,p2_move,p2_direction,p1_score,p2_score,board_matrix_flattened
1,p1,greedy,"[2, 3]","[8, 2] -> [7, 2]",Up,"[6, 2] -> [5, 2]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 1  0  2  0  0  0  6] | [ 0  0  0  0  4  0  0]
2,p2,minimax,"[-1, -6]","[1, 0] -> [2, 0]",Down,"[1, 6] -> [0, 6]",Up,0,0,[ 0  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 1  0  2  0  0  0  6] | [ 0  0  0  0  4  0  0]
3,p1,greedy,"[1, 3]","[7, 0] -> [8, 0]",Down,"[5, 2] -> [4, 2]",Up,0,0,[ 0  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 0  0  2  0  0  0  6] | [ 1  0  0  0  4  0  0]
4,p2,minimax,"[-5, -6]","[2, 4] -> [3, 4]",Down,"[0, 6] -> [1, 6]",Down,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0 -6] | [-1  0 -3  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 0  0  2  0  0  0  6] | [ 1  0  0  0  4  0  0]
5,p1,greedy,"[2, 3]","[7, 2] -> [6, 1]",Up-Left,"[4, 2] -> [4, 3]",Right,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0 -6] | [-1  0 -3  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  3  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  2  0  0  5  0  0] | [ 0  0  0  0  0  0  6] | [ 1  0  0  0  4  0  0]
6,p2,minimax,"[-6, -5]","[1, 6] -> [2, 6]",Down,"[3, 4] -> [2, 4]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0 -5  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  3  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  2  0  0  5  0  0] | [ 0  0  0  0  0  0  6] | [ 1  0  0  0  4  0  0]
7,p1,greedy,"[3, 2]","[4, 3] -> [3, 3]",Up,"[6, 1] -> [5, 0]",Up-Left,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0 -5  0 -6] | [ 0  0  0  3  0  0  0] | [ 0  0  0  0  0  0  0] | [ 2  0  0  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 0  0  0  0  0  0  6] | [ 1  0  0  0  4  0  0]
8,p2,minimax,"[-3, -4]","[2, 2] -> [3, 2]",Down,"[0, 4] -> [0, 5]",Right,0,0,[ 0  0 -2  0  0 -4  0] | [ 0  0  0  0  0  0  0] | [-1  0  0  0 -5  0 -6] | [ 0  0 -3  3  0  0  0] | [ 0  0  0  0  0  0  0] | [ 2  0  0  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 0  0  0  0  0  0  6] | [ 1  0  0  0  4  0  0]
9,p1,greedy,"[4, 1]","[8, 4] -> [8, 3]",Left,"[8, 0] -> [8, 1]",Right,0,0,[ 0  0 -2  0  0 -4  0] | [ 0  0  0  0  0  0  0] | [-1  0  0  0 -5  0 -6] | [ 0  0 -3  3  0  0  0] | [ 0  0  0  0  0  0  0] | [ 2  0  0  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 0  0  0  0  0  0  6] | [ 0  1  0  4  0  0  0]
10,p2,minimax,"[-1, -2]","[2, 0] -> [3, 0]",Down,"[0, 2] -> [0, 3]",Right,0,0,[ 0  0  0 -2  0 -4  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0 -5  0 -6] | [-1  0 -3  3  0  0  0] | [ 0  0  0  0  0  0  0] | [ 2  0  0  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 0  0  0  0  0  0  6] | [ 0  1  0  4  0  0  0]
